threshold,top_k,round_trip_cost,exit_threshold,trend_filter,CAGR,Sharpe,MaxDrawdown,TotalReturn,Days,Score
0.55,5,0.0005,0.48,False,0.11380272364972033,0.7160366073939282,-0.28626546312681744,0.9550868576256375,2272,0.5211650539873903
0.58,5,0.001,0.48,False,0.055947679402116535,0.6119356675247395,-0.13635170376808747,0.40302404617935506,2272,0.5196386083309045
0.54,5,0.0005,0.52,True,0.12267047500961925,0.7531882803678168,-0.3394522539403302,1.0539471465288361,2272,0.5184276197184385
0.54,1,0.001,0.5,True,0.1932591707597724,0.8155335237157033,-0.44731442857743764,2.001378722865385,2272,0.5156597320816849
0.52,5,0.001,0.5,True,0.12785202420059183,0.6974854510167593,-0.27664337729551125,1.1136299322021772,2272,0.5145263564405278
0.56,3,0.001,0.48,True,0.08410753843771857,0.6375938058100019,-0.18706096110875425,0.6525858486115352,2272,0.513177298454314
0.53,1,0.0005,0.48,False,0.2891517130523047,0.9127654078781563,-0.6099093279321962,3.8543921444857405,2272,0.5115834594480907
0.54,1,0.0005,0.48,False,0.25185110225555474,0.8523006559026769,-0.5231722274782077,3.0440486583198174,2272,0.5093182045967771
0.5,5,0.001,0.5,True,0.14469620097053948,0.7543714304081459,-0.36306034824651334,1.317803430711157,2272,0.5073320121020971
0.54,3,0.001,0.5,False,0.12863176761060502,0.6820849854159907,-0.2689952797116997,1.1227359901859746,2272,0.5054782919298124
0.57,5,0.0005,0.48,False,0.0625427866926469,0.6401188221873296,-0.193090312308142,0.4584288180659155,2272,0.50440940834861
0.51,3,0.001,0.52,True,0.15439359272518716,0.7495004283967356,-0.36717726334369427,1.4426770897772285,2272,0.5020766955393363
0.55,5,0.0005,0.48,True,0.10210243412758846,0.6793532783260553,-0.2757103410286774,0.8307850723935679,2272,0.4894157357413899
0.56,3,0.0005,0.52,False,0.08832400897995996,0.6513079245010301,-0.2370076299438444,0.6929754444961349,2272,0.4881990232399427
0.51,5,0.001,0.48,False,0.15741057287582239,0.7465400347401493,-0.3833974848444768,1.4826592368001976,2272,0.48704521872731454
